titulo;diretor;ano;orcamento;faturamento;nota
The Little Vampire ;Uli Edel;2000; 22000000; 13555988;5,7
I Heart Huckabees ;David O. Russell;2004; 22000000; 12784713;6,7
RoboCop 3 ;Fred Dekker;1993; 23500000; 10696210;3,9
Megiddo: The Omega Code 2 ;Brian Trenchard-Smith;2001; 22000000;  5974653;4,1
Darling Lili ;Blake Edwards;1970; 25000000;  5000000;6,2
Dudley Do-Right ;Hugh Wilson;1999; 22000000;  9694105;3,8
The Transporter Refueled ;Camille Delamarre;2015; 25000000; 16027866;5,1
Black Book ;Paul Verhoeven;2006; 21000000;  4398392;7,8
Joyeux Noel ;Christian Carion;2005; 22000000;  1050445;7,8
Hit and Run ;David Palmer;2012;  2000000; 13746550;6,1
Mad Money ;Callie Khouri;2008; 22000000; 20668843;5,8
Before I Go to Sleep ;Rowan Joffe;2014; 22000000;  2963012;6,3
Stone ;John Curran;2010; 22000000;  1796024;5,4
Molière ;Laurent Tirard;2007; 16000000;   634277;7,3
Out of the Furnace ;Scott Cooper;2013; 22000000; 11326836;6,8
Michael Clayton ;Tony Gilroy;2007; 25000000; 49024969;7,3
My Fellow Americans ;Peter Segal;1996; 21500000; 22294341;6,5
Arlington Road ;Mark Pellington;1999; 21500000; 24362501;7,2
To Rome with Love ;Woody Allen;2012; 17000000; 16684352;6,3
Firefox ;Clint Eastwood;1982; 21000000; 46700000;5,9
South Park: Bigger Longer & Uncut ;Trey Parker;1999; 21000000; 52008288;7,8
Death at a Funeral ;Frank Oz;2007;  9000000;  8579684;7,4
Teenage Mutant Ninja Turtles III ;Stuart Gillard;1993; 17000000; 42660000;4,8
Hardball ;Brian Robbins;2001; 21000000; 40219708;6,3
Silver Linings Playbook ;David O. Russell;2012; 21000000;132088910;7,8
Freedom Writers ;Richard LaGravenese;2007; 21000000; 36581633;7,5
The Transporter ;Louis Leterrier;2002; 21000000; 25296447;6,8
Never Back Down ;Jeff Wadlow;2008; 20000000; 24848292;6,6
The Rage: Carrie 2 ;Katt Shea;1999; 21000000; 17757087;4,6
Away We Go ;Sam Mendes;2009; 17000000;  9430988;7,1
Swing Vote ;Joshua Michael Stern;2008; 21000000; 16284360;6,1
Moonlight Mile ;Brad Silberling;2002; 21000000;  6830957;6,7
Tinker Tailor Soldier Spy ;Tomas Alfredson;2011; 20000000; 24104113;7,1
Molly ;John Duigan;1999; 21000000;    15593;5,8
The Beaver ;Jodie Foster;2011; 21000000;   958319;6,7
The Best Little Whorehouse in Texas ;Colin Higgins;1982; 35000000; 69700000;5,8
eXistenZ ;David Cronenberg;1999; 31000000;  2840417;6,8
Raiders of the Lost Ark ;Steven Spielberg;1981; 18000000;242374454;8,5
Home Alone 2: Lost in New York ;Chris Columbus;1992; 18000000;173585516;6,6
Close Encounters of the Third Kind ;Steven Spielberg;1977; 19400870;128300000;7,7
Pulse ;Jim Sonzero;2006; 20000000; 20259297;4,7
Beverly Hills Cop II ;Tony Scott;1987; 28000000;153665036;6,4
Bringing Down the House ;Adam Shankman;2003; 33000000;132541238;5,5
The Silence of the Lambs ;Jonathan Demme;1991; 19000000;130727000;8,6
Wayne's World ;Penelope Spheeris;1992; 20000000;121697350;7,0
Jackass 3D ;Jeff Tremaine;2010; 20000000;117224271;7,1
Jaws 2 ;Jeannot Szwarc;1978; 20000000;102922376;5,7
Beverly Hills Chihuahua ;Raja Gosnell;2008; 20000000; 94497271;3,7
The Conjuring ;James Wan;2013; 20000000;137387272;7,5
Are We There Yet? ;Brian Levant;2005; 32000000; 82301521;4,6
Tammy ;Ben Falcone;2014; 20000000; 84518155;4,9
Disturbia ;D.J. Caruso;2007; 20000000; 80050171;6,9
School of Rock ;Richard Linklater;2003; 35000000; 81257845;7,1
Mortal Kombat ;Paul W.S. Anderson;1995; 18000000; 70360285;5,8
Wicker Park ;Paul McGuigan;2004; 30000000; 12831121;7,0
White Chicks ;Keenen Ivory Wayans;2004; 37000000; 69148997;5,4
The Descendants ;Alexander Payne;2011; 20000000; 82624961;7,3
Holes ;Andrew Davis;2003; 20000000; 67325559;7,1
The Last Song ;Julie Anne Robinson;2010; 20000000; 62933793;5,8
12 Years a Slave ;Steve McQueen;2013; 20000000; 56667870;8,1
Drumline ;Charles Stone III;2002; 20000000; 56398162;5,7
Why Did I Get Married Too? ;Tyler Perry;2010; 20000000; 60072596;4,4
Edward Scissorhands ;Tim Burton;1990; 20000000; 56362352;7,9
Me Before You ;Thea Sharrock;2016; 20000000; 56154094;7,6
Madea's Witness Protection ;Tyler Perry;2012; 20000000; 65623128;4,8
Bad Moms ;Jon Lucas;2016; 20000000; 55461307;6,7
Date Movie ;Aaron Seltzer;2006; 20000000; 48546578;2,7
Return to Never Land ;Robin Budd;2002; 20000000; 48423368;5,8
Selma ;Ava DuVernay;2014; 20000000; 52066000;7,5
The Jungle Book 2 ;Steve Trenbirth;2003; 20000000; 47887943;5,4
Boogeyman ;Stephen Kay;2005; 20000000; 46363118;4,1
Premonition ;Mennan Yapo;2007; 20000000; 47852604;5,9
The Tigger Movie ;Jun Falkenstein;2000; 30000000; 45542421;6,3
Max ;Boaz Yakin;2015; 20000000; 42652003;6,8
Epic Movie ;Jason Friedberg;2007; 20000000; 39737645;2,3
Conan the Barbarian ;John Milius;1982; 20000000; 37567440;6,9
Spotlight ;Tom McCarthy;2015; 20000000; 44988180;8,1
Lakeview Terrace ;Neil LaBute;2008; 22000000; 39263506;6,1
The Grudge 2 ;Takashi Shimizu;2006; 20000000; 39143839;5,0
How Stella Got Her Groove Back ;Kevin Rodney Sullivan;1998; 20000000; 37672350;5,5
Bill & Ted's Bogus Journey ;Peter Hewitt;1991; 20000000; 38037513;6,2
Man of the Year ;Barry Levinson;2006; 20000000; 37442180;6,2
The American ;Anton Corbijn;2010; 20000000; 35596227;6,3
Selena ;Gregory Nava;1997; 20000000; 35422828;6,7
Vampires Suck ;Jason Friedberg;2010; 20000000; 36658108;3,5
Babel ;Alejandro G. Iñárritu;2006; 25000000; 34300771;7,5
This Is Where I Leave You ;Shawn Levy;2014; 19800000; 34290142;6,6
Doubt ;John Patrick Shanley;2008; 20000000; 33422556;7,5
Team America: World Police ;Trey Parker;2004; 30000000; 32774834;7,2
Texas Chainsaw 3D ;John Luessenhop;2013; 11000000; 34334256;4,8
Copycat ;Jon Amiel;1995; 20000000; 32051917;6,6
Scary Movie 5 ;Malcolm D. Lee;2013; 20000000; 32014289;3,5
Milk ;Gus Van Sant;2008; 20000000; 31838002;7,6
Risen ;Kevin Reynolds;2016; 20000000; 36874745;6,3
Ghost Ship ;Steve Beck;2002; 35000000; 30079316;5,5
A Very Harold & Kumar 3D Christmas ;Todd Strauss-Schulson;2011; 19000000; 35033759;6,3
Wild Things ;John McNaughton;1998; 20000000; 29753944;6,5
The Debt ;John Madden;2010; 20000000; 31146570;6,9
High Fidelity ;Stephen Frears;2000; 20000000; 27277055;7,6
One Missed Call ;Eric Valette;2008; 27000000; 26876529;3,9
Eye for an Eye ;John Schlesinger;1996; 20000000; 53146000;6,1
The Bank Job ;Roger Donaldson;2008; 20000000; 30028592;7,3
Eternal Sunshine of the Spotless Mind ;Michel Gondry;2004; 20000000; 34126138;8,3
You Again ;Andy Fickman;2010; 20000000; 25677801;5,8
Street Kings ;David Ayer;2008; 20000000; 26415649;6,8
The World's End ;Edgar Wright;2013; 20000000; 26003149;7,0
Nancy Drew ;Andrew Fleming;2007; 20000000; 25584685;5,9
Daybreakers ;Michael Spierig;2009; 20000000; 29975979;6,5
She's Out of My League ;Jim Field Smith;2010; 20000000; 31584722;6,4
Monte Carlo ;Thomas Bezucha;2011; 20000000; 23179303;5,8
Stay Alive ;William Brent Bell;2006;  9000000; 23078294;5,1
Quigley Down Under ;Simon Wincer;1990; 20000000; 21413105;6,8
Alpha and Omega ;Anthony Bell;2010; 20000000; 25077977;5,3
The Covenant ;Renny Harlin;2006; 20000000; 23292105;5,3
Shorts ;Robert Rodriguez;2009; 40000000; 20916309;4,9
To Die For ;Gus Van Sant;1995; 20000000; 21200000;6,8
Nerve ;Henry Joost;2016; 20000000; 28876924;7,1
Vampires ;John Carpenter;1998; 20000000; 20241395;6,1
Psycho ;Alfred Hitchcock;1960;   806947; 32000000;8,5
My Best Friend's Girl ;Howard Deutch;2008; 40000000; 19151864;5,9
Endless Love ;Shana Feste;2014; 20000000; 23393765;6,3
Georgia Rule ;Garry Marshall;2007; 20000000; 18882880;5,9
Under the Rainbow ;Steve Rash;1981; 20000000;  8500000;5,4
Simon Birch ;Mark Steven Johnson;1998; 30000000; 18252684;6,9
Reign Over Me ;Mike Binder;2007; 20000000; 19661987;7,5
Into the Wild ;Sean Penn;2007; 15000000; 18352454;8,2
School for Scoundrels ;Todd Phillips;2006; 20000000; 17803796;5,9
Silent Hill: Revelation 3D ;Michael J. Bassett;2012; 20000000; 17529157;5,0
From Dusk Till Dawn ;Robert Rodriguez;1996; 19000000; 25753840;7,3
Pooh's Heffalump Movie ;Frank Nissen;2005; 20000000; 18081626;6,4
Home for the Holidays ;Jodie Foster;1995; 20000000; 17518220;6,6
Kung Fu Hustle ;Stephen Chow;2004; 20000000; 17104669;7,8
The Country Bears ;Peter Hastings;2002; 35000000; 16988996;4,0
The Kite Runner ;Marc Forster;2007; 20000000; 15797907;7,6
21 Grams ;Alejandro G. Iñárritu;2003; 20000000; 16248701;7,7
Paparazzi ;Paul Abascal;2004; 20000000; 15712072;5,8
Twilight ;Catherine Hardwicke;2008; 37000000;191449475;5,2
A Guy Thing ;Chris Koch;2003; 20000000; 15408822;5,6
Loser ;Amy Heckerling;2000; 20000000; 15464026;5,3
The Greatest Story Ever Told ;George Stevens;1965; 20000000;  8000000;6,6
Disaster Movie ;Jason Friedberg;2008; 25000000; 14174654;1,9
Armored ;Nimród Antal;2009; 27000000; 15988876;5,7
The Man Who Knew Too Little ;Jon Amiel;1997; 20000000; 13801755;6,6
What's Your Number? ;Mark Mylod;2011; 20000000; 13987482;6,0
Lockout ;James Mather;2012; 20000000; 14291570;6,1
Envy ;Barry Levinson;2004; 40000000; 12181484;4,8
Crank: High Voltage ;Mark Neveldine;2009; 20000000; 13630226;6,2
Bullets Over Broadway ;Woody Allen;1994; 20000000; 13383737;7,5
One Night with the King ;Michael O. Sajbel;2006; 20000000; 13391174;6,3
The Quiet American ;Phillip Noyce;2002; 30000000; 12987647;7,1
The Weather Man ;Gore Verbinski;2005; 22000000; 12469811;6,6
Undisputed ;Walter Hill;2002; 20000000; 12398628;6,1
Ghost Town ;David Koepp;2008; 20000000; 13214030;6,7
12 Rounds ;Renny Harlin;2009; 22000000; 12232937;5,6
Let Me In ;Matt Reeves;2010; 20000000; 12134420;7,2
3 Ninjas Kick Back ;Charles T. Kanganis;1994; 20000000; 11784000;4,3
Be Kind Rewind ;Michel Gondry;2008; 20000000; 11169531;6,4
Mrs Henderson Presents ;Stephen Frears;2005; 20000000; 11034436;7,1
Triple 9 ;John Hillcoat;2016; 20000000; 12626905;6,3
Deconstructing Harry ;Woody Allen;1997; 20000000; 10569071;7,4
Three to Tango ;Damon Santostefano;1999; 20000000; 10544143;6,1
Burnt ;John Wells;2015; 20000000; 13650738;6,6
We're No Angels ;Neil Jordan;1989; 20000000; 10555348;6,0
Everyone Says I Love You ;Woody Allen;1996; 20000000;  9714482;6,8
Death at a Funeral ;Frank Oz;2007;  9000000;  8579684;7,4
Death Sentence ;James Wan;2007; 20000000;  9525276;6,8
Everybody's Fine ;Kirk Jones;2009; 21000000;  8855646;7,2
Superbabies: Baby Geniuses 2 ;Bob Clark;2004; 20000000;  9109322;1,9
The Man ;Les Mayfield;2005; 33000000;  8326035;5,5
Code Name: The Cleaner ;Les Mayfield;2007; 20000000;  8104069;4,5
Connie and Carla ;Michael Lembeck;2004; 20000000;  8054280;6,3
Inherent Vice ;Paul Thomas Anderson;2014; 20000000;  8093318;6,7
Doogal ;Dave Borthwick;2006; 20000000;  7382993;2,8
Battle of the Year ;Benson Lee;2013; 20000000;  8888355;5,0
An American Carol ;David Zucker;2008; 12000000;  7001720;4,3
Machete Kills ;Robert Rodriguez;2013; 20000000;  7268659;5,6
Willard ;Glen Morgan;2003; 22000000;  6852144;6,2
Strange Wilderness ;Fred Wolf;2008; 20000000;  6563357;5,3
Topsy-Turvy ;Mike Leigh;1999; 10000000;  6201757;7,4
Little Boy ;Alejandro Monteverde;2015; 20000000;  6420319;7,4
A Dangerous Method ;David Cronenberg;2011; 15000000;  5702083;6,5
A Scanner Darkly ;Richard Linklater;2006;  8700000;  5480996;7,1
Chasing Mavericks ;Michael Apted;2012; 20000000;  6002756;7,2
Alone in the Dark ;Uwe Boll;2005; 20000000;  5132655;2,3
Bandslam ;Todd Graff;2009; 20000000;  5205343;6,4
Birth ;Jonathan Glazer;2004; 20000000;  5005883;6,1
A Most Violent Year ;J.C. Chandor;2014; 20000000;  5749134;7,0
Flash of Genius ;Marc Abraham;2008; 20000000;  4234040;7,0
I'm Not There. ;Todd Haynes;2007; 20000000;  4001121;7,0
The Cold Light of Day ;Mabrouk El Mechri;2012; 20000000;  3749061;4,9
The Brothers Bloom ;Rian Johnson;2008; 20000000;  3519627;6,9
Synecdoche, New York ;Charlie Kaufman;2008; 21000000;  3081925;7,5
Bon voyage ;Jean-Paul Rappeneau;2003; 20000000;  2353728;6,9
Can't Stop the Music ;Nancy Walker;1980; 20000000;  2000000;4,5
The Proposition ;John Hillcoat;2005;  2000000;  1900725;7,4
Courage ;Angelo Pizzo;2015; 20000000;  2246000;7,0
Marci X ;Richard Benjamin;2003; 20000000;  1646664;2,8
Equilibrium ;Kurt Wimmer;2002; 20000000;  1190018;7,5
The Children of Huang Shi ;Roger Spottiswoode;2008; 40000000;  1027749;7,1
The Yards ;James Gray;2000; 24000000;   882710;6,4
The Oogieloves in the Big Balloon Adventure ;Matthew Diamond;2012; 20000000;  1064277;6,7
By the Sea ;Angelina Jolie Pitt;2015; 10000000;   531009;5,3
The Game of Their Lives ;David Anspaugh;2005; 20000000;   375474;6,2
Rapa Nui ;Kevin Reynolds;1994; 20000000;   305070;6,4
Les couloirs du temps: Les visiteurs II ;Jean-Marie Poiré;1998;140000000;   146072;6,0
Dylan Dog: Dead of Night ;Kevin Munroe;2010; 20000000;  1183354;5,1
People I Know ;Daniel Algrant;2002; 22000000;   121972;5,5
The Tempest ;Julie Taymor;2010; 20000000;   263365;5,4
The Painted Veil ;John Curran;2006; 19400000;  8047690;7,5
The Baader Meinhof Complex ;Uli Edel;2008; 20000000;   476270;7,4
Dances with Wolves ;Kevin Costner;1990; 22000000;184208848;8,0
Bad Teacher ;Jake Kasdan;2011; 20000000;100292856;5,7
Sea of Love ;Harold Becker;1989; 19000000; 58571513;6,8
A Cinderella Story ;Mark Rosman;2004; 20000000; 51431160;5,9
Scream ;Wes Craven;1996; 15000000;103001286;7,2
Thir13en Ghosts ;Steve Beck;2001; 20000000; 41867960;5,5
Back to the Future ;Robert Zemeckis;1985; 19000000;210609762;8,5
House on Haunted Hill ;William Malone;1999; 19000000; 40846082;5,6
I Can Do Bad All by Myself ;Tyler Perry;2009; 13000000; 51697449;4,1
The Switch ;Josh Gordon;2010; 19000000; 27758465;6,1
Just Married ;Shawn Levy;2003; 18000000; 56127162;5,4
The Devil's Double ;Lee Tamahori;2011; 15000000;  1357042;7,1
Thomas and the Magic Railroad ;Britt Allcroft;2000; 19000000; 15911333;3,6
The Crazies ;Breck Eisner;2010; 20000000; 39103378;6,5
Spirited Away ;Hayao Miyazaki;2001; 19000000; 10049886;8,6
The Bounty ;Roger Donaldson;1984; 25000000;  8600000;7,0
The Book Thief ;Brian Percival;2013; 19000000; 21483154;7,6
Sex Drive ;Sean Anders;2008; 19000000;  8396942;6,5
Leap Year ;Anand Tucker;2010; 19000000;    12561;6,4
Take Me Home Tonight ;Michael Dowse;2011; 23000000;  6923891;6,3
The Nutcracker ;Emile Ardolino;1993; 19000000;  2119994;5,7
Kansas City ;Robert Altman;1996; 19000000;  1292527;6,3
The Amityville Horror ;Andrew Douglas;2005; 19000000; 64255243;6,0
Adaptation. ;Spike Jonze;2002; 19000000; 22245861;7,7
Land of the Dead ;George A. Romero;2005; 15000000; 20433940;6,2
Fear and Loathing in Las Vegas ;Terry Gilliam;1998; 18500000; 10562387;7,7
The Invention of Lying ;Ricky Gervais;2009; 18500000; 18439082;6,4
Neighbors ;Nicholas Stoller;2014; 18000000;150056505;6,4
The Mask ;Chuck Russell;1994; 18000000;119938730;6,9
Big ;Penny Marshall;1988; 18000000;114968774;7,3
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ;Larry Charles;2006; 18000000;128505958;7,3
Legally Blonde ;Robert Luketic;2001; 18000000; 95001351;6,2
Star Trek III: The Search for Spock ;Leonard Nimoy;1984; 17000000; 76400000;6,6
The Exorcism of Emily Rose ;Scott Derrickson;2005; 20000000; 75072454;6,7
Deuce Bigalow: Male Gigolo ;Mike Mitchell;1999; 17000000; 65535067;5,7
Left Behind ;Vic Armstrong;2014; 16000000; 13998282;3,1
The Family Stone ;Thomas Bezucha;2005; 17000000;  6061759;6,3
Barbershop 2: Back in Business ;Kevin Rodney Sullivan;2004; 18000000; 64955956;5,7
Bad Santa ;Terry Zwigoff;2003; 18000000; 60057639;7,1
Austin Powers: International Man of Mystery ;Jay Roach;1997; 17000000; 53868030;7,0
My Big Fat Greek Wedding 2 ;Kirk Jones;2016; 18000000; 59573085;6,1
Diary of a Wimpy Kid: Rodrick Rules ;David Bowers;2011; 21000000; 52691009;6,6
Predator ;John McTiernan;1987; 15000000; 59735548;7,8
Amadeus ;Milos Forman;1984; 18000000; 51600000;8,3
Prom Night ;Nelson McCormick;2008; 20000000; 43818159;3,9
Mean Girls ;Mark Waters;2004; 17000000; 86049418;7,0
Under the Tuscan Sun ;Audrey Wells;2003; 18000000; 43601508;6,7
Gosford Park ;Robert Altman;2001; 19800000; 41300105;7,3
Peggy Sue Got Married ;Francis Ford Coppola;1986; 18000000; 41382841;6,3
Birdman or (The Unexpected Virtue of Ignorance) ;Alejandro G. Iñárritu;2014; 18000000; 42335698;7,8
Blue Jasmine ;Woody Allen;2013; 18000000; 33404871;7,3
United 93 ;Paul Greengrass;2006; 15000000; 31471430;7,6
Honey ;Bille Woodruff;2003; 25000000; 30222640;5,3
Glory ;Edward Zwick;1989; 18000000; 26830000;7,9
Spy Hard ;Rick Friedberg;1996; 18000000; 26906039;5,3
The Fog ;John Carpenter;1980;  1000000; 21378000;6,8
Soul Surfer ;Sean McNamara;2011; 18000000; 43853424;7,1
Observe and Report ;Jody Hill;2009; 18000000; 23993605;5,8
Conan the Destroyer ;Richard Fleischer;1984; 18000000; 26400000;5,8
Raging Bull ;Martin Scorsese;1980; 18000000;    45250;8,3
Love Happens ;Brandon Camp;2009; 18000000; 22927390;5,6
Young Sherlock Holmes ;Barry Levinson;1985; 18000000;  4250320;6,8
Fame ;Kevin Tancharoen;2009; 18000000; 22452209;5,0
127 Hours ;Danny Boyle;2010; 18000000; 18329466;7,6
Small Time Crooks ;Woody Allen;2000; 18000000; 17071230;6,7
Center Stage ;Nicholas Hytner;2000; 18000000; 17174870;6,7
Love the Coopers ;Jessie Nelson;2015; 17000000; 26284475;5,7
Catch That Kid ;Bart Freundlich;2004; 18000000; 16702864;5,2
Life as a House ;Irwin Winkler;2001; 18000000; 15561627;7,5
Steve Jobs ;Danny Boyle;2015; 30000000; 17750583;7,2
I Love You, Beth Cooper ;Chris Columbus;2009; 18000000; 14793904;5,3
Youth in Revolt ;Miguel Arteta;2009; 18000000; 15281286;6,5
The Legend of the Lone Ranger ;William A. Fraker;1981; 18000000;  8000000;5,0
The Tailor of Panama ;John Boorman;2001; 18000000; 13491653;6,1
Getaway ;Courtney Solomon;2013; 18000000; 10494494;4,4
The Ice Storm ;Ang Lee;1997; 18000000;  7837632;7,5
And So It Goes ;Rob Reiner;2014; 18000000; 15155772;5,7
Troop Beverly Hills ;Jeff Kanew;1989; 18000000;  8508843;5,5
Being Julia ;István Szabó;2004; 18000000;  7739049;7,1
9½ Weeks ;Adrian Lyne;1986; 17000000;  6734844;5,9
Dragonslayer ;Matthew Robbins;1981; 18000000;  6000000;6,7
The Last Station ;Michael Hoffman;2009; 13000000;  6615578;7,0
Ed Wood ;Tim Burton;1994; 18000000;  5887457;7,9
Labor Day ;Jason Reitman;2013; 18000000; 13362308;6,9
Mongol: The Rise of Genghis Khan ;Sergey Bodrov;2007; 20000000;  5701643;7,3
RocknRolla ;Guy Ritchie;2008; 18000000;  5694401;7,3
Megaforce ;Hal Needham;1982; 20000000;  5333658;3,5
Hamlet ;Kenneth Branagh;1996; 18000000;  4414535;7,8
Midnight Special ;Jeff Nichols;2016; 18000000;  3707794;6,7
Anything Else ;Woody Allen;2003; 18000000;  3203044;6,4
The Railway Man ;Jonathan Teplitzky;2013; 18000000;  4435083;7,1
The White Ribbon ;Michael Haneke;2009; 12000000;  2222647;7,8
The Wraith ;Mike Marvin;1986;  2700000;  3500000;5,9
The Salton Sea ;D.J. Caruso;2002; 18000000;   676698;7,2
One Man's Hero ;Lance Hool;1999; 11350000;   229311;6,2
Renaissance ;Christian Volckman;2006; 14000000;    63260;6,7
Superbad ;Greg Mottola;2007; 20000000;121463226;7,6
Step Up 2: The Streets ;Jon M. Chu;2008; 23000000; 58006147;6,2
Hoodwinked! ;Cory Edwards;2005; 17500000; 51053787;6,5
Hotel Rwanda ;Terry George;2004; 17500000; 23472900;8,1
Hitman ;Xavier Gens;2007; 24000000; 39687528;6,3
Black Nativity ;Kasi Lemmons;2013; 17500000;  7017178;4,4
City of Ghosts ;Matt Dillon;2002; 17500000;   325491;6,0
The Others ;Alejandro Amenábar;2001; 17000000; 96471845;7,6
Aliens ;James Cameron;1986; 18500000; 85200000;8,4
My Fair Lady ;George Cukor;1964; 17000000; 72000000;7,9
I Know What You Did Last Summer ;Jim Gillespie;1997; 17000000; 72219395;5,6
Let's Be Cops ;Luke Greenfield;2014; 17000000; 82389560;6,5
Sideways ;Alexander Payne;2004; 12000000; 71502303;7,5
Beerfest ;Jay Chandrasekhar;2006; 17500000; 19179969;6,3
Halloween ;John Carpenter;1978;   300000; 47000000;7,9
Hero ;Yimou Zhang;2002; 31000000;    84961;7,9
Good Boy! ;John Hoffman;2003; 17000000; 37566230;5,1
The Best Man Holiday ;Malcolm D. Lee;2013; 17000000; 70492685;6,7
Smokin' Aces ;Joe Carnahan;2006; 17000000; 35635046;6,7
Saw 3D: The Final Chapter ;Kevin Greutert;2010; 20000000; 45670855;5,6
40 Days and 40 Nights ;Michael Lehmann;2002; 17000000; 37939782;5,6
TRON: Legacy ;Joseph Kosinski;2010;170000000;172051787;6,8
A Night at the Roxbury ;John Fortenberry;1998; 17000000; 30324946;6,2
Beastly ;Daniel Barnz;2011; 17000000; 27854896;5,6
The Hills Have Eyes ;Alexandre Aja;2006; 15000000; 41777564;6,4
Dickie Roberts: Former Child Star ;Sam Weisman;2003; 17000000; 22734486;5,6
McFarland, USA ;Niki Caro;2015; 17000000; 44469602;7,4
Pitch Perfect ;Jason Moore;2012; 17000000; 64998368;7,2
Summer Catch ;Michael Tollin;2001; 34000000; 19693891;4,9
A Simple Plan ;Sam Raimi;1998; 17000000; 16311763;7,5
They ;Robert Harmon;2002; 17000000; 12693621;4,8
Larry the Cable Guy: Health Inspector ;Trent Cooper;2006;  4000000; 15655665;3,1
The Adventures of Elmo in Grouchland ;Gary Halvorson;1999; 17000000; 11634458;5,8
Brooklyn's Finest ;Antoine Fuqua;2009; 17000000; 27154426;6,7
Evil Dead ;Fede Alvarez;2013; 17000000; 54239856;6,5
My Life in Ruins ;Donald Petrie;2009; 17000000;  8662318;5,9
American Dreamz ;Paul Weitz;2006; 19000000;  7156725;5,5
Superman IV: The Quest for Peace ;Sidney J. Furie;1987; 17000000; 15681020;3,6
Running Scared ;Wayne Kramer;2006; 17000000;  6855137;7,4
Shanghai Surprise ;Jim Goddard;1986; 17000000;  2315683;3,0
The Illusionist ;Neil Burger;2006; 16000000; 39825798;7,6
Roar ;Noel Marshall;1981; 17000000;  2000000;6,4
Veronica Guerin ;Joel Schumacher;2003; 17000000;  1569918;6,9
Escobar: Paradise Lost ;Andrea Di Stefano;2014; 17000000;   106869;6,6
Southland Tales ;Richard Kelly;2006; 17000000;   273420;5,5
The Apparition ;Todd Lincoln;2012; 17000000;  4930798;4,1
My Girl ;Howard Zieff;1991; 16500000; 59847242;6,8
Fur: An Imaginary Portrait of Diane Arbus ;Steven Shainberg;2006; 16800000;   220914;6,5
The Illusionist ;Neil Burger;2006; 16000000; 39825798;7,6
Wall Street ;Oliver Stone;1987; 15000000; 43848100;7,4
Sense and Sensibility ;Ang Lee;1995; 16500000; 42700000;7,7
Becoming Jane ;Julian Jarrold;2007; 16500000; 18663911;7,1
Sydney White ;Joe Nussbaum;2007; 16500000; 11702090;6,3
House of Sand and Fog ;Vadim Perelman;2003; 15000000; 13005485;7,6
Dead Poets Society ;Peter Weir;1989; 16400000; 95860116;8,0
Dumb & Dumber ;Peter Farrelly;1994; 16000000;127175354;7,3
When Harry Met Sally... ;Rob Reiner;1989; 16000000; 92823600;7,6
The Verdict ;Sidney Lumet;1982; 16000000; 54000000;7,8
Road Trip ;Todd Phillips;2000; 15600000; 68525609;6,5
Varsity Blues ;Brian Robbins;1999; 16000000; 52885587;6,4
The Artist ;Michel Hazanavicius;2011; 15000000; 44667095;8,0
The Unborn ;David S. Goyer;2009; 16000000; 42638165;4,8
Moonrise Kingdom ;Wes Anderson;2012; 16000000; 45507053;7,8
The Texas Chainsaw Massacre: The Beginning ;Jonathan Liebesman;2006; 16000000; 39511038;5,9
The Young Messiah ;Cyrus Nowrasteh;2016; 18500000;  6462576;5,4
The Master of Disguise ;Perry Andelin Blake;2002; 16000000; 40363530;3,3
Pan's Labyrinth ;Guillermo del Toro;2006; 13500000; 37623143;8,2
See Spot Run ;John Whitesell;2001; 35000000; 33357476;5,4
Baby Boy ;John Singleton;2001; 16000000; 28734552;6,4
The Roommate ;Christian E. Christiansen;2011; 16000000; 37300107;4,8
Joe Dirt ;Dennie Gordon;2001; 17700000; 27087695;5,9
Double Impact ;Sheldon Lettich;1991; 15000000; 30102717;5,5
Hot Fuzz ;Edgar Wright;2007;  8000000; 23618786;7,9
The Women ;Diane English;2008; 16500000; 26896744;4,9
Vicky Cristina Barcelona ;Woody Allen;2008; 15500000; 23213577;7,2
Bad Moms ;Jon Lucas;2016; 20000000; 55461307;6,7
Boys and Girls ;Robert Iscove;2000; 16000000; 20627372;5,3
White Oleander ;Peter Kosminsky;2002; 16000000; 16346122;7,2
Jennifer's Body ;Karyn Kusama;2009; 16000000; 16204793;5,1
Drowning Mona ;Nick Gomez;2000; 16000000; 15427192;5,6
Radio Days ;Woody Allen;1987; 16000000; 14792779;7,6
Left Behind ;Vic Armstrong;2014; 16000000; 13998282;3,1
Remember Me ;Allen Coulter;2010; 16000000; 19057024;7,2
How to Deal ;Clare Kilner;2003; 16000000; 14108518;5,7
My Stepmother Is an Alien ;Richard Benjamin;1988; 20000000; 13854000;5,2
Philadelphia ;Jonathan Demme;1993; 26000000; 77324422;7,7
The Thirteenth Floor ;Josef Rusnak;1999; 16000000; 15500000;7,0
Duets ;Bruce Paltrow;2000; 15000000;  4734235;6,0
Hollywood Ending ;Woody Allen;2002; 16000000;  4839383;6,6
Detroit Rock City ;Adam Rifkin;1999; 15000000;  4193025;6,8
Highlander ;Russell Mulcahy;1986; 16000000;  5900000;7,2
Things We Lost in the Fire ;Susanne Bier;2007; 16000000;  2849142;7,2
Steel ;Kenneth Johnson;1997; 16000000;  1686429;2,8
The Immigrant ;James Gray;2013; 16000000;  1984743;6,6
The White Countess ;James Ivory;2005; 16000000;  1666262;6,7
